epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,153.773,0.56769,0.3169,0.78309,0.99869,0.99815,0.995,0.89958,0.47926,0.29818,0.7836,0.0004159,0.0004159,0.0004159
61,156.092,0.56831,0.30935,0.78544,0.99855,0.9981,0.99496,0.89848,0.46597,0.28749,0.7835,0.000406,0.000406,0.000406
62,158.369,0.53792,0.30591,0.77854,0.99848,0.99788,0.99495,0.89691,0.47095,0.28966,0.78392,0.0003961,0.0003961,0.0003961
63,160.634,0.57363,0.31475,0.78357,0.99859,0.99815,0.99492,0.90277,0.45759,0.28636,0.78292,0.0003862,0.0003862,0.0003862
64,162.926,0.54987,0.30584,0.78179,0.99851,0.99804,0.99496,0.90236,0.45534,0.28098,0.7828,0.0003763,0.0003763,0.0003763
65,165.285,0.5493,0.30076,0.78134,0.99849,0.99799,0.995,0.90122,0.45935,0.27729,0.78394,0.0003664,0.0003664,0.0003664
66,167.642,0.57482,0.31,0.78271,0.99849,0.99815,0.995,0.90072,0.47834,0.29041,0.78342,0.0003565,0.0003565,0.0003565
67,170.006,0.5493,0.30886,0.78495,0.99844,0.99815,0.995,0.90044,0.46885,0.28767,0.78344,0.0003466,0.0003466,0.0003466
68,172.259,0.5312,0.30132,0.7801,0.99851,0.99815,0.995,0.90421,0.47554,0.28972,0.78262,0.0003367,0.0003367,0.0003367
69,174.522,0.57782,0.31306,0.78242,0.99857,0.99815,0.995,0.89806,0.48607,0.29133,0.78477,0.0003268,0.0003268,0.0003268
70,176.829,0.54162,0.30499,0.77924,0.99856,0.99815,0.995,0.89599,0.50414,0.30452,0.77956,0.0003169,0.0003169,0.0003169
71,179.152,0.55161,0.3097,0.78037,0.9981,0.99815,0.995,0.90015,0.45878,0.28467,0.78147,0.000307,0.000307,0.000307
72,181.512,0.52734,0.29699,0.78201,0.99834,0.99808,0.99499,0.90345,0.45862,0.27698,0.7828,0.0002971,0.0002971,0.0002971
73,183.917,0.53494,0.29475,0.78018,0.99858,0.99815,0.995,0.90847,0.44643,0.27189,0.78335,0.0002872,0.0002872,0.0002872
74,186.213,0.53399,0.29466,0.7844,0.99845,0.99811,0.995,0.90082,0.4641,0.28213,0.78166,0.0002773,0.0002773,0.0002773
75,188.596,0.53957,0.29904,0.77915,0.9984,0.9981,0.995,0.90691,0.44693,0.27418,0.78293,0.0002674,0.0002674,0.0002674
76,191.086,0.53157,0.2914,0.78149,0.99854,0.9981,0.995,0.90811,0.44688,0.27187,0.78331,0.0002575,0.0002575,0.0002575
77,193.396,0.52536,0.29312,0.78145,0.99851,0.99812,0.995,0.90829,0.44319,0.27362,0.78229,0.0002476,0.0002476,0.0002476
78,195.727,0.51375,0.29281,0.77828,0.99857,0.99815,0.99499,0.9087,0.44546,0.27898,0.78221,0.0002377,0.0002377,0.0002377
79,198.065,0.53746,0.29712,0.77978,0.99858,0.99815,0.99499,0.90892,0.44493,0.27623,0.78143,0.0002278,0.0002278,0.0002278
80,200.419,0.53276,0.29284,0.77943,0.99841,0.99799,0.995,0.9092,0.44341,0.27435,0.78146,0.0002179,0.0002179,0.0002179
81,202.742,0.50539,0.28795,0.77893,0.99859,0.998,0.995,0.91125,0.44267,0.27456,0.78243,0.000208,0.000208,0.000208
82,205.141,0.5023,0.28525,0.78026,0.99851,0.99815,0.99499,0.90948,0.43345,0.2693,0.78171,0.0001981,0.0001981,0.0001981
83,207.436,0.54401,0.29528,0.78118,0.9986,0.99815,0.99499,0.9088,0.43652,0.2711,0.78147,0.0001882,0.0001882,0.0001882
84,209.834,0.50678,0.28414,0.78327,0.9986,0.99815,0.99499,0.90784,0.43776,0.26602,0.78279,0.0001783,0.0001783,0.0001783
85,212.239,0.51018,0.28301,0.77959,0.99868,0.99815,0.99499,0.90959,0.43056,0.26323,0.78247,0.0001684,0.0001684,0.0001684
86,214.591,0.47814,0.2763,0.77741,0.99854,0.99811,0.99499,0.90999,0.43879,0.26715,0.78175,0.0001585,0.0001585,0.0001585
87,216.885,0.5197,0.28403,0.78055,0.99847,0.99807,0.99499,0.91074,0.42528,0.26033,0.78302,0.0001486,0.0001486,0.0001486
88,219.199,0.52769,0.28432,0.77937,0.99859,0.99815,0.99499,0.91053,0.4258,0.25952,0.78273,0.0001387,0.0001387,0.0001387
89,221.472,0.50858,0.28237,0.78049,0.9983,0.99815,0.99499,0.91,0.42707,0.26269,0.78224,0.0001288,0.0001288,0.0001288
90,223.836,0.5074,0.28378,0.77926,0.99862,0.99807,0.99499,0.91261,0.43044,0.26268,0.7825,0.0001189,0.0001189,0.0001189
91,238.907,0.45015,0.27988,0.7766,0.99842,0.99813,0.99499,0.90758,0.44572,0.26676,0.78218,0.000109,0.000109,0.000109
92,241.094,0.50868,0.29438,0.77209,0.99808,0.99813,0.99499,0.90774,0.43741,0.26208,0.78174,9.91e-05,9.91e-05,9.91e-05
93,243.187,0.4506,0.27527,0.77198,0.99824,0.99804,0.995,0.90597,0.43776,0.26567,0.78153,8.92e-05,8.92e-05,8.92e-05
94,245.315,0.44331,0.27419,0.77433,0.99851,0.99813,0.995,0.90541,0.45372,0.27667,0.78036,7.93e-05,7.93e-05,7.93e-05
95,247.401,0.43361,0.27065,0.77351,0.99849,0.99815,0.99499,0.90811,0.43437,0.26499,0.78103,6.94e-05,6.94e-05,6.94e-05
96,249.548,0.42914,0.26286,0.77131,0.99846,0.99815,0.99499,0.90893,0.42739,0.2579,0.78143,5.95e-05,5.95e-05,5.95e-05
97,251.618,0.44447,0.26891,0.77592,0.99842,0.99815,0.99498,0.90811,0.42717,0.25565,0.78168,4.96e-05,4.96e-05,4.96e-05
98,253.729,0.45711,0.27281,0.77111,0.99819,0.99815,0.99498,0.91023,0.4301,0.25953,0.78112,3.97e-05,3.97e-05,3.97e-05
99,255.822,0.43392,0.26409,0.77577,0.99832,0.99815,0.99498,0.90986,0.42965,0.26,0.78116,2.98e-05,2.98e-05,2.98e-05
100,257.948,0.43061,0.2618,0.77704,0.99845,0.99815,0.99498,0.91086,0.42293,0.25625,0.7817,1.99e-05,1.99e-05,1.99e-05
